gap,rho,cost_mean,cost_std
0.01,0.8,3.96,0.05
0.01,0.85,5.58,0.08
0.01,0.88,7.19,0.12
0.01,0.9,8.79,0.19
0.01,0.92,11.14,0.3
0.01,0.94,15.0,0.53
0.01,0.95,17.86,0.62
0.01,0.96,22.27,1.02
0.01,0.97,28.29,1.42
0.01,0.98,37.75,2.4
0.01,0.99,51.86,3.15
0.5,0.8,3.01,0.03
0.5,0.85,4.04,0.05
0.5,0.88,5.07,0.1
0.5,0.9,6.07,0.13
0.5,0.92,7.54,0.22
0.5,0.94,9.89,0.3
0.5,0.95,11.59,0.51
0.5,0.96,13.96,0.62
0.5,0.97,17.6,0.7
0.5,0.98,22.49,0.91
0.5,0.99,30.33,1.65
1.0,0.8,2.88,0.02
1.0,0.85,3.87,0.05
1.0,0.88,4.85,0.07
1.0,0.9,5.75,0.1
1.0,0.92,7.12,0.13
1.0,0.94,9.05,0.3
1.0,0.95,10.77,0.41
1.0,0.96,13.12,0.66
1.0,0.97,16.09,0.82
1.0,0.98,20.84,1.07
1.0,0.99,27.3,1.47
