env,num_epochs,initial_test_cost,final_test_cost,min_test_cost,min_test_epoch
criss_cross_bh_ppg_softmax,100,18.014942169189453,15.963226318359375,15.1986083984375,62
criss_cross_bh_ppg_vanilla,100,5014.6640625,17.352659225463867,17.205110549926758,98
reentrant_10_ppg_softmax,100,80.86199951171875,93.17756652832031,80.25261688232422,80
reentrant_2_ppg_softmax,100,16.392847061157227,17.938491821289062,14.712238311767578,13
reentrant_3_ppg_softmax,100,25.072040557861328,22.20013427734375,21.99386215209961,62
reentrant_4_ppg_softmax,100,33.969722747802734,35.03015899658203,32.2027702331543,27
reentrant_5_ppg_softmax,100,34.77021408081055,33.35527420043945,30.10088539123535,74
reentrant_6_ppg_softmax,100,38.16578674316406,40.869503021240234,36.12039566040039,13
reentrant_7_ppg_softmax,100,42.736427307128906,38.65196228027344,37.261104583740234,90
reentrant_8_ppg_softmax,100,65.1323013305664,70.17561340332031,64.33381652832031,2
reentrant_9_ppg_softmax,100,73.09937286376953,75.7079086303711,72.91577911376953,5
